+--------+--------------------+-----------------+-------+------------------+
| Graph6 | Number of vertexes | Number of edges | Girth | Chromatic number |
| G?Bcvo |         8          |        22       |   4   |        2         |
| G?Bcvg |         8          |        22       |   3   |        3         |
| G?Bcuw |         8          |        22       |   3   |        3         |
| G?Bcrw |         8          |        22       |   3   |        3         |
| G?BcvK |         8          |        22       |   3   |        3         |
| G?Bcuk |         8          |        22       |   3   |        3         |
| G?Bcrk |         8          |        22       |   3   |        3         |
| G?Bcvw |         8          |        24       |   3   |        3         |
| G?Bcvk |         8          |        24       |   3   |        3         |
| G?Bcr{ |         8          |        24       |   3   |        3         |
| G?Bcv{ |         8          |        26       |   3   |        3         |
| G?BffO |         8          |        22       |   4   |        2         |
| G?Bffo |         8          |        24       |   4   |        2         |
| G?BffW |         8          |        24       |   3   |        3         |
| G?Bfew |         8          |        24       |   3   |        3         |
| G?BffS |         8          |        24       |   3   |        3         |
| G?Bffw |         8          |        26       |   3   |        3         |
| G?Bffs |         8          |        26       |   3   |        3         |
| G?Bff[ |         8          |        26       |   3   |        3         |
| G?Bfe{ |         8          |        26       |   3   |        3         |
| G?Bff{ |         8          |        28       |   3   |        3         |
| G?Bev_ |         8          |        22       |   4   |        2         |
| G?Beuo |         8          |        22       |   4   |        2         |
| G?Beto |         8          |        22       |   4   |        2         |
| G?BevG |         8          |        22       |   3   |        3         |
| G?Beug |         8          |        22       |   3   |        3         |
| G?Betg |         8          |        22       |   3   |        3         |
| G?Besw |         8          |        22       |   3   |        3         |
| G?Bepw |         8          |        22       |   3   |        3         |
| G?Bevo |         8          |        24       |   4   |        2         |
| G?Bevg |         8          |        24       |   3   |        3         |
| G?Beuw |         8          |        24       |   3   |        3         |
| G?Betw |         8          |        24       |   3   |        3         |
| G?Bevc |         8          |        24       |   3   |        3         |
| G?Beus |         8          |        24       |   3   |        3         |
| G?Bets |         8          |        24       |   3   |        3         |
| G?BevK |         8          |        24       |   3   |        3         |
| G?Bevw |         8          |        26       |   3   |        3         |
| G?Bevs |         8          |        26       |   3   |        3         |
